Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
"Northeastern US Companies With Fewer Than 50 Employees (Top 10K)","9,582","971","1,398","275","The top 10,000 companies and startups in Northeastern US with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 11:08 AM","Active, Company, Employee Range, Location","—","—","—","—","Northeastern US, United States, North America","Regional Area","—","—","—","—","—",—,—,"35,449","9,148","Jul 27, 2013","65","8,633","1%","3%","346","Jan 2, 2014","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Grant,&nbsp;Pre-Seed","25,148","2","$145,543,738,021","$3,009,242","$122,317,899,176","Jul 27, 2013","$14,645,705,780","$63,900,000","$65,343,572,341","$309,500,000","9%","928","1,475","$81,039,761,013","$75,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Family Investment Office","23,700","33,891","33","8,679","9","6,162","7","938","$288,859,428,493","17,072","7","10","65,384.15","0.65","0.65","0.97"
"West Coast Companies With Less Than $10M in Revenue (Top 10K)","9,800","973","2,223","276","The top 10,000 companies and startups in West Coast with less than $10m in revenue, by Crunchbase rank.","Sep 15, 2022 10:34 AM","Active, Company, Location, Revenue Range","—","—","—","—","West Coast, United States, North America","Regional Area","—","—","—","—","—","—","$1M to $10M","48,563","11,468","Apr 21, 2012","70","9,145","1%","3%","339","Jun 20, 2014","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C","28,293","3","$264,158,035,204","$5,224,331","$237,165,445,640","Apr 21, 2012","$19,899,328,895","$69,000,000","$84,593,253,697","$363,150,000","14%","1,405","1,603","$79,285,171,736","$105,000,000","Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Angel Group","43,058","62,531","37","14,885","11","11,034","8","1,560","$273,412,482,650","19,369","3","11","64,595.72","0.66","0.66","0.91"
"Venture Capital Investors with Investments in Germany","1,789","902","102","276","Venture capital investors that made investments in companies headquartered in Germany.","Sep 15, 2022 11:00 AM","Active, Investments in Location, Investor Type","—","—","—","—","Germany, Europe","Country","—","—","—","—",—,"—",—,"446","109","Jun 21, 2007","2","276","0%","2%","39","May 23, 2007",—,"Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","291","1","$27,667,959,201",—,"$10,443,845,295","Jun 21, 2007","$24,885,396,081","$137,853,388","$176,667,672,586","$6,600,000,000","1%","18","1,351","$15,267,195,201","$1,451,996,790","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","99,408","143,801","22","41,585","9","23,050","5","3,173","$1,114,365,248,893","2,377","31","46","264,228.76","0.92","0.92","0.99"
"Southern US Medical Companies (Top 10K)","9,934","989","9","277","The top 10,000 companies and startups in Southern US in the medical space, by Crunchbase rank.","Sep 15, 2022 10:45 AM","Active, Industry, Company, Location","—","—","Medical","Health Care","Southern US, United States, North America","Regional Area","—","—","—","—","—","—",—,"2,649","1,085","Aug 19, 1995","696","8,864","7%","1%","136","Sep 1, 2008","0%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Series A","3,520","1","$37,411,396,184","$1,536,211","$25,506,698,834","Aug 19, 1995","$9,888,301,629","$90,000,000","$31,858,296,484","$518,000,000","5%","611","666","$137,257,155,874","$252,500,000","Venture Capital,&nbsp;Micro VC,&nbsp;Incubator,&nbsp;Accelerator,&nbsp;Entrepreneurship Program","1,050","1,588","1","724","2","175","1","17","$785,099,985","2,833","105","234","776,251.96","1.54","1.54","2.54"
"Canada Companies With More Than $1M in Revenue (Top 10K)","9,962","970","262","278","The top 10,000 companies and startups in Canada with more than $1m in revenue, by Crunchbase rank.","Sep 15, 2022 12:54 PM","Active, Company, Location, Revenue Range","—","—","—","—","Canada, North America","Country","—","—","—","—","—","—","$1M to $10M","6,815","2,285","Nov 2, 1991","249","9,357","2%","6%","735","Nov 22, 2009","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Post-IPO Equity,&nbsp;Grant,&nbsp;Private Equity","5,735","2","$125,057,617,916","$3,502,928","$83,827,216,011","Nov 2, 1991","$12,045,493,687","$125,500,500","$37,720,881,729","$746,245,179","7%","798","2,548","$132,671,237,173","$180,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Investment Bank","6,423","7,760","3","2,439","2","1,713","2","185","$157,056,416,286","5,081","3","4","453,600.85","1.33","1.33","2"
"Construction Companies (Top 10K)","9,910","957","80","279","The top 10,000 companies and startups in the construction space, by Crunchbase rank.","Sep 15, 2022 12:36 PM","Active, Industry, Company","—","—","Construction","Real Estate","—","—","—","—","—","—","—","—",—,"4,911","1,560","Oct 5, 1984","56","9,376","1%","7%","728","Sep 26, 2004","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Pre-Seed,&nbsp;Series A","3,647","1","$76,144,746,875","$1,000,585","$49,365,186,728","Oct 5, 1984","$15,025,544,463","$109,053,251","$28,926,820,138","$468,107,623","8%","935","2,705","$121,333,278,658","$234,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Accelerator,&nbsp;Incubator","1,089","1,336","1","386","1","203","1","54","$6,952,012,000","4,628","1","1","363,745.5","1.42","1.42","2.32"
"Midwestern US Companies With More Than $10M in Revenue (Top 10K)","9,949","950","345","280","The top 10,000 companies and startups in Midwestern US with more than $10m in revenue, by Crunchbase rank.","Sep 15, 2022 10:16 AM","Active, Company, Location, Revenue Range","—","—","—","—","Midwestern US, United States, North America","Regional Area","—","—","—","—","—","—","$10M to $50M","3,318","1,346","Oct 10, 1972","303","9,301","3%","4%","472","May 23, 2001","0%","Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Grant,&nbsp;Debt Financing,&nbsp;Post-IPO Equity","3,342","1","$138,723,379,455","$3,728,235","$72,936,929,430","Oct 10, 1972","$47,477,917,607","$149,000,000","$173,911,589,207","$831,667,642","12%","1,369","7,376","$577,693,604,304","$493,333,333","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital,&nbsp;Micro VC","3,431","4,356","2","1,536","2","1,072","2","185","$205,626,668,515","4,758","12","21","297,535.28","1.27","1.27","2.22"
"Europe Companies With Fewer Than 50 Employees (Top 10K)","9,858","983","3,081","281","The top 10,000 companies and startups in Europe with fewer than 50 employees, by Crunchbase rank.","Sep 15, 2022 11:48 AM","Active, Company, Employee Range, Location","—","—","—","—","Europe","Continent","—","—","—","—","—",—,—,"41,108","13,156","Aug 16, 2015","32","9,089","0%","2%","259","Jul 4, 2016","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Pre-Seed,&nbsp;Series B","27,965","2","$147,700,912,607","$4,016,378","$122,103,088,151","Aug 16, 2015","$7,340,493,933","$36,000,000","$31,706,424,285","$121,533,935","7%","734","929","$24,015,811,056","$40,700,504","Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Angel Group","13,044","19,162","20","7,415","11","2,078","5","481","$59,858,883,730","20,102","123","265","42,093.8","0.81","0.81","1.17"
"European Union (EU) Web Apps Companies","2,008","297","3","282","Companies and startups in European Union (EU) in the web apps space.","Sep 15, 2022 10:22 AM","Active, Industry, Company, Location","—","—","Web Apps","Apps, Software","European Union (EU), Europe","Regional Area","—","—","—","—","—","—",—,"302","69","Feb 26, 2008","2","1,932","0%","0%","2","Jan 25, 2017",—,"Seed,&nbsp;Pre-Seed,&nbsp;Series A,&nbsp;Grant,&nbsp;Venture - Series Unknown","192","1","$373,694,411","$298,460","$369,928,422","Feb 26, 2008",—,—,—,—,"1%","27","9","$46,518,766","$7,800,000","Accelerator,&nbsp;Incubator,&nbsp;Micro VC","35","35","1","34","1","0",—,"0",—,"583","0","0","1,069,221.97","1.85","1.85","1.78"
"European Union (EU) Companies With More Than 10 Employees (Top 10K)","9,939","991","2,200","283","The top 10,000 companies and startups in European Union (EU) with more than 10 employees, by Crunchbase rank.","Sep 15, 2022 12:24 PM","Active, Company, Employee Range, Location","—","—","—","—","European Union (EU), Europe","Regional Area","—","—","—","—","—",—,—,"36,933","12,608","Jan 6, 2009","19","9,464","0%","6%","719","Dec 29, 2010","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","25,934","2","$510,873,686,164","$4,840,648","$350,250,974,963","Jan 6, 2009","$40,348,880,085","$83,888,500","$371,557,456,269","$445,915,000","12%","1,405","7,985","$256,951,059,076","$159,273,082","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","16,967","23,279","4","7,513","4","3,648","4","665","$320,576,503,641","19,441","8","14","56,041.09","0.69","0.69","0.93"
"Therapeutics Companies With More Than $1M in Revenue","5,700","949","3","284","Companies and startups in the therapeutics space with more than $1m in revenue.","Sep 15, 2022 8:52 AM","Active, Industry, Company, Revenue Range","—","—","Therapeutics","Health Care","—","—","—","—","—","—","—","—","$1M to $10M","6,791","2,278","Mar 5, 1998","364","5,274","6%","6%","382","Dec 20, 2014","0%","Venture - Series Unknown,&nbsp;Post-IPO Equity,&nbsp;Series B,&nbsp;Series A,&nbsp;Grant","5,058","3","$132,973,941,367","$30,360,345","$116,995,121,285","Mar 5, 1998","$27,125,075,502","$96,000,000","$117,064,660,529","$441,196,554","3%","173","428","$163,873,683,694","$450,000,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Incubator","532","765","2","209","1","211","1","12","$1,907,800,000","2,516","0","0","1,093,775.34","1.51","1.51","2.08"
"Southern US Real Estate Companies (Top 10K)","9,447","963","6","285","The top 10,000 companies and startups in Southern US in the real estate space, by Crunchbase rank.","Sep 15, 2022 11:58 AM","Active, Industry, Company, Location","—","—","Real Estate","Real Estate","Southern US, United States, North America","Regional Area","—","—","—","—","—","—",—,"859","270","May 17, 1993","98","9,074","1%","1%","115","Apr 12, 2001","0%","Seed,&nbsp;Debt Financing,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Equity Crowdfunding","897","1","$27,390,076,910","$735,000","$8,589,263,089","May 17, 1993","$5,663,483,106","$100,000,000","$6,195,100,000","$295,500,000","4%","366","885","$108,453,676,771","$596,500,000","Private Equity Firm,&nbsp;Venture Capital,&nbsp;Family Investment Office,&nbsp;Investment Bank,&nbsp;Accelerator","436","551","1","145","1","147","1","70","$32,456,309,624","2,304","0","1","750,082.09","1.62","1.62","2.45"
"Machinery Manufacturing Companies (Top 10K)","9,158","1,000","5","286","The top 10,000 companies and startups in the machinery manufacturing space, by Crunchbase rank.","Sep 15, 2022 9:46 AM","Active, Industry, Company","—","—","Machinery Manufacturing","Manufacturing","—","—","—","—","—","—","—","—",—,"1,597","592","Feb 5, 1973","11","8,781","0%","6%","559","Sep 7, 2004","0%","Grant,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Seed,&nbsp;Series A","1,349","1","$14,884,993,911","$272,398","$7,582,180,998","Feb 5, 1973","$3,446,346,840","$83,746,511","$9,277,475,901","$536,939,086","12%","1,295","1,059","$96,807,786,530","$78,007,014","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm","225","263","1","81","1","44","1","2",—,"1,506","0","0","613,912.74","1.51","1.51","2.54"
"Construction Companies With Fewer Than 1000 Employees (Top 10K)","9,769","969","78","287","The top 10,000 companies and startups in the construction space with fewer than 1000 employees, by Crunchbase rank.","Sep 15, 2022 10:12 AM","Active, Industry, Company, Employee Range","—","—","Construction","Real Estate","—","—","—","—","—","—","—",—,—,"4,539","1,424","May 20, 1987","64","9,289","1%","3%","343","Apr 1, 2006","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Private Equity,&nbsp;Pre-Seed,&nbsp;Series A","3,344","1","$25,183,802,521","$909,742","$17,986,603,437","May 20, 1987","$2,685,653,793","$58,456,117","$3,687,852,371","$246,908,851","6%","656","758","$29,913,135,450","$212,500,000","Venture Capital,&nbsp;Corporate Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Incubator","732","942","2","241","2","114","2","42","$1,868,312,566","4,267","0","0","417,394.75","1.52","1.52","2.45"
"Asia-Pacific (APAC) Companies Founded in the Last Year","1,484","146","7","288","Companies and startups founded within the last year in Asia-Pacific (APAC).","Sep 15, 2022 11:30 AM","Active, Company, Founded Year, Location","—","—","—","—","Asia-Pacific (APAC)","Regional Area","—","—","—","—","—","—",—,"765","225","Jan 31, 2022","65","1,298","4%",—,"0",—,—,"Pre-Seed,&nbsp;Seed,&nbsp;Angel,&nbsp;Series A,&nbsp;Venture - Series Unknown","452","1","$6,823,563,891","$100,000","$4,498,593,211","Jan 31, 2022",—,—,—,—,"0%","5","7",—,—,"Venture Capital,&nbsp;Angel Group,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC","14","15","2","4","1","2","1","4","$1,635,000,000","1,301","0","0","725,168.08","1.95","1.95","3.48"
"Venture Capital Investors with Investments in San Diego, California","1,150","75","21","289","Venture capital investors that made investments in companies headquartered in San Diego, California.","Sep 15, 2022 10:24 AM","Active, Investments in Location, Investor Type","—","—","—","—","San Diego, California, United States","City","—","—","—","—",—,"—",—,"203","39","Sep 6, 2003","1","154","0%","3%","32","Feb 15, 2003","0%","Seed,&nbsp;Angel,&nbsp;Grant,&nbsp;Pre-Seed,&nbsp;Series A","162","1","$4,823,541,677","$850,000","$2,195,199,947","Sep 6, 2003","$657,702,354","$200,000,000","$1,872,612,161","$936,306,081","1%","12","396","$990,813,730","$495,406,865","Micro VC,&nbsp;Incubator,&nbsp;Syndicate,&nbsp;Hedge Fund,&nbsp;Accelerator","86,783","130,893","36","35,532","10","25,553","8","2,842","$936,297,262,098","1,652","6","9","227,382.55","0.82","0.82","0.96"
"East Coast Health Care Companies (Top 10K)","9,815","980","122","289","The top 10,000 companies and startups in East Coast in the health care space, by Crunchbase rank.","Sep 15, 2022 11:15 AM","Active, Industry, Company, Location","—","—","Health Care","Health Care","East Coast, United States, North America","Regional Area","—","—","—","—","—","—",—,"15,544","5,148","Jan 30, 2000","504","8,498","5%","5%","572","Jul 1, 2010","1%","Venture - Series Unknown,&nbsp;Seed,&nbsp;Grant,&nbsp;Series A,&nbsp;Private Equity","13,263","2","$211,851,702,434","$3,000,641","$161,737,435,299","Jan 30, 2000","$41,829,538,432","$79,391,250","$157,092,892,206","$419,500,000","14%","1,506","2,678","$636,035,754,932","$272,500,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Corporate Venture Capital,&nbsp;Accelerator","5,898","8,533","3","2,981","2","2,238","3","236","$79,376,674,412","9,726","19","37","212,451.77","0.91","0.91","1.46"
"Northeastern US Companies With Less Than $10M in Revenue (Top 10K)","9,779","1,004","1,226","290","The top 10,000 companies and startups in Northeastern US with less than $10m in revenue, by Crunchbase rank.","Sep 15, 2022 10:09 AM","Active, Company, Location, Revenue Range","—","—","—","—","Northeastern US, United States, North America","Regional Area","—","—","—","—","—","—","$1M to $10M","30,178","8,174","Nov 16, 2008","79","9,072","1%","3%","357","Dec 21, 2012","0%","Seed,&nbsp;Venture - Series Unknown,&nbsp;Series A,&nbsp;Grant,&nbsp;Series B","22,099","2","$185,152,261,570","$3,240,573","$158,433,495,096","Nov 16, 2008","$15,699,372,060","$60,000,000","$83,090,682,468","$344,000,000","13%","1,340","2,353","$102,585,021,023","$140,000,000","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Family Investment Office","25,096","36,960","19","9,841","7","6,952","6","1,271","$376,724,033,538","15,948","1,263","2,537","108,891.87","0.68","0.68","1"
"Asia Companies (Top 10K)","9,831","985","1,879","291","The top 10,000 companies and startups in Asia, by Crunchbase rank.","Sep 15, 2022 10:03 AM","Active, Company, Location","—","—","—","—","Asia","Continent","—","—","—","—","—","—",—,"60,651","19,903","Jun 15, 2012","38","8,974","0%","9%","998","Sep 23, 2013","0%","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","29,896","2","$1,363,797,242,541","$13,824,144","$1,089,693,078,554","Jun 15, 2012","$144,516,691,746","$118,000,000","$1,059,885,417,287","$1,152,726,628","7%","675","3,007","$222,531,315,675","$126,681,064","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Investment Bank,&nbsp;Corporate Venture Capital","21,035","27,502","2","10,515","2","3,374","2","634","$154,471,089,516","17,151","2","5","27,196.54","0.96","0.96","1.48"
"Asia-Pacific (APAC) Companies With Fewer Than 1000 Employees (Top 10K)","9,803","990","1,525","292","The top 10,000 companies and startups in Asia-Pacific (APAC) with fewer than 1000 employees, by Crunchbase rank.","Sep 15, 2022 11:15 AM","Active, Company, Employee Range, Location","—","—","—","—","Asia-Pacific (APAC)","Regional Area","—","—","—","—","—",—,—,"55,325","17,672","Dec 5, 2013","43","9,090","0%","6%","679","Apr 2, 2015","0%","Seed,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Series C","28,200","2","$515,930,752,433","$8,237,423","$467,114,620,045","Dec 5, 2013","$36,009,197,098","$63,683,301","$225,266,132,715","$424,534,605","6%","592","1,601","$73,822,398,946","$73,500,000","Venture Capital,&nbsp;Micro VC,&nbsp;Private Equity Firm,&nbsp;Corporate Venture Capital,&nbsp;Accelerator","16,441","21,751","2","8,082","2","2,117","2","561","$129,261,636,900","16,763","0","1","34,581.28","0.85","0.85","1.3"
